cik,ticker,title
1045810,NVDA,NVIDIA CORP
1131399,GSK,GLAXOSMITHKLINE PLC
1268896,LFC,CHINA LIFE INSURANCE CO LTD
1231868,ISG,INTERNATIONAL STEEL GROUP INC
1707925,LIN,LINDE PLC
4962,AXP,AMERICAN EXPRESS CO
835403,DEO,DIAGEO PLC
947263,TD,TORONTO DOMINION BANK
313616,DHR,DANAHER CORP /DE/
1053507,AMT,AMERICAN TOWER CORP /MA/
1106051,NPSNY,NASPERS LTD
1551152,ABBV,AbbVie Inc.
937966,ASML,ASML HOLDING NV
1127508,AZSEY,ALLIANZ SE
804328,QCOM,QUALCOMM INC/DE
8565,CBAUF,COMMONWEALTH BANK OF AUSTRALIA
66740,MMM,3M CO
769594,NTTYY,NIPPON TELEGRAPH & TELEPHONE CORP
1091667,CHTR,"CHARTER COMMUNICATIONS, INC. /MO/"
60667,LOW,LOWES COMPANIES INC
1119639,PBR,PETROBRAS - PETROLEO BRASILEIRO SA
36104,USB,US BANCORP \DE\
1144967,HDB,HDFC BANK LTD
1123658,SNP,CHINA PETROLEUM & CHEMICAL CORP
882095,GILD,GILEAD SCIENCES INC
764180,MO,"ALTRIA GROUP, INC."
1136893,FIS,"Fidelity National Information Services, Inc."
64803,CVS,CVS HEALTH Corp
310764,SYK,STRYKER CORP
1303523,BTI,British American Tobacco p.l.c.
946770,DTEGY,DEUTSCHE TELEKOM AG
1103982,MDLZ,"Mondelez International, Inc."
14272,BMY,BRISTOL MYERS SQUIBB CO
1132597,ITUB,Itau Unibanco Holding S.A.
1156375,CME,CME GROUP INC.
1067839,QQQ,"INVESCO QQQ TRUST, SERIES 1"
886982,GS,GOLDMAN SACHS GROUP INC
40545,GE,GENERAL ELECTRIC CO
896878,INTU,INTUIT INC
313838,SNE,SONY CORP
8670,ADP,AUTOMATIC DATA PROCESSING INC
798354,FISV,FISERV INC
896159,CB,Chubb Ltd
1001250,EL,ESTEE LAUDER COMPANIES INC
1565025,ABEV,AMBEV S.A.
1144145,BAYRY,BAYER AKTIENGESELLSCHAFT
895421,MS,MORGAN STANLEY
18230,CAT,CATERPILLAR INC
816284,CELG,CELGENE CORP /DE/
719245,WBK,WESTPAC BANKING CORP
895728,ENB,ENBRIDGE INC
1326160,DUK,Duke Energy CORP
10795,BDX,BECTON DICKINSON & CO
1095595,CEO,CNOOC LTD
109198,TJX,TJX COMPANIES INC /DE/
1156039,ANTM,"Anthem, Inc."
1364742,BLK,BlackRock Inc.
1283699,TMUS,"T-Mobile US, Inc."
16868,CNI,CANADIAN NATIONAL RAILWAY CO
9631,BNS,BANK OF NOVA SCOTIA
1085922,ESLOY,ESSILOR INTERNATIONAL /FI
1061219,EPD,ENTERPRISE PRODUCTS PARTNERS L.P.
1072424,DFIFF,DIAMOND FIELDS INTERNATIONAL LTD
891478,SAN,"Banco Santander, S.A."
67088,MUFG,MITSUBISHI UFJ FINANCIAL GROUP INC
715957,D,DOMINION ENERGY INC /VA/
1024148,BASFY,BASF AKTIENGESELLSCHAFT
64040,SPGI,S&P Global Inc.
21665,CL,COLGATE PALMOLIVE CO
1160330,BBDO,BANK BRADESCO
1160330,BBD,BANK BRADESCO
1739940,CI,Cigna Corp
1088753,HINKF,HEINEKEN N V/ /FI
1133421,NOC,NORTHROP GRUMMAN CORP /DE/
92122,SO,SOUTHERN CO
1393818,BX,Blackstone Group Inc
1555280,ZTS,Zoetis Inc.
713676,PNC,"PNC FINANCIAL SERVICES GROUP, INC."
1163165,COP,CONOCOPHILLIPS
1051470,CCI,CROWN CASTLE INTERNATIONAL CORP
1124610,VMW,"VMWARE, INC."
1140625,EQNR,EQUINOR ASA
1035267,ISRG,INTUITIVE SURGICAL INC
917851,VALE,Vale S.A.
31462,ECL,ECOLAB INC.
940173,LUKOY,LUKOIL OIL CO /FI
1048515,DANOY,GROUPE DANONE
885725,BSX,BOSTON SCIENTIFIC CORP
1140625,STOHF,EQUINOR ASA
898427,AXAHY,AXA
1543151,UBER,"Uber Technologies, Inc"
1002242,E,ENI SPA
277948,CSX,CSX CORP
1166691,CCZ,COMCAST CORP
1127799,ZFSVF,Zurich Insurance Group Ltd/FI
1467858,GM,General Motors Co
40533,GD,GENERAL DYNAMICS CORP
27419,TGT,TARGET CORP
769218,AEH,AEGON NV
1045609,PLD,"Prologis, Inc."
1395064,TAK,TAKEDA PHARMACEUTICAL CO LTD
833029,NABZY,NATIONAL AUSTRALIA BANK LTD
769218,AED,AEGON NV
1578845,AGN,Allergan plc
1067318,DDAIF,DAIMLER AG
723125,MU,MICRON TECHNOLOGY INC
1666700,DD,"DuPont de Nemours, Inc."
316709,SCHW,SCHWAB CHARLES CORP
859994,ANZBY,AUSTRALIA & NEW ZEALAND BANKING GROUP LTD
1047122,RTN,RAYTHEON CO/
1001085,BAM,BROOKFIELD ASSET MANAGEMENT INC.
1571949,ICE,"Intercontinental Exchange, Inc."
839923,VOD,VODAFONE GROUP PUBLIC LTD CO
889232,IVSXF,INVESTOR AB
87347,SLB,SCHLUMBERGER LIMITED/NV
62709,MMC,"MARSH & MCLENNAN COMPANIES, INC."
823768,WM,WASTE MANAGEMENT INC
315189,DE,DEERE & CO
899108,PDRDY,PERNOD RICARD S A /FI
1618921,WBA,"Walgreens Boots Alliance, Inc."
49826,ITW,ILLINOIS TOOL WORKS INC
769218,AEB,AEGON NV
1063761,SPG,SIMON PROPERTY GROUP INC /DE/
2969,APD,AIR PRODUCTS & CHEMICALS INC /DE/
1232384,TRP,TC ENERGY CORP
89800,SHW,SHERWIN WILLIAMS CO
1067491,INFY,Infosys Ltd
1373715,NOW,"ServiceNow, Inc."
55785,KMB,KIMBERLY CLARK CORP
1129137,AMOV,AMERICA MOVIL SAB DE CV/
1129137,AMX,AMERICA MOVIL SAB DE CV/
311337,SU,SUNCOR ENERGY INC
702165,NSC,NORFOLK SOUTHERN CORP
870016,JMHLY,JARDINE MATHESON HOLDINGS LTD \ /FI
870016,JARLF,JARDINE MATHESON HOLDINGS LTD \ /FI
929869,RELX,RELX PLC
882617,DBSDF,DBS GROUP HOLDINGS LTD /FI
202058,LHX,"L3HARRIS TECHNOLOGIES, INC. /DE/"
1506307,KMI,"KINDER MORGAN, INC."
1109357,EXC,EXELON CORP
1101239,EQIX,EQUINIX INC
1393311,PSA,Public Storage
5272,AIG,AMERICAN INTERNATIONAL GROUP INC
315293,AON,Aon plc
948401,CFRHF,COMPAGNIE FINANCIERE RICHEMONT AG /FI
4904,AEP,AMERICAN ELECTRIC POWER CO INC
1022837,SMFG,"SUMITOMO MITSUI FINANCIAL GROUP, INC."
882617,DBSDY,DBS GROUP HOLDINGS LTD /FI
821189,EOG,EOG RESOURCES INC
1549802,JD,"JD.com, Inc."
6951,AMAT,APPLIED MATERIALS INC /DE
1534701,PSX,Phillips 66
875320,VRTX,VERTEX PHARMACEUTICALS INC / MA
1116578,PUK,PRUDENTIAL PLC
927971,BMO,BANK OF MONTREAL /CAN/
1099800,EW,Edwards Lifesciences Corp
1300514,LVS,LAS VEGAS SANDS CORP
80661,PGR,PROGRESSIVE CORP/OH/
10456,BAX,BAXTER INTERNATIONAL INC
718940,BCE,BCE INC
1048911,FDX,FEDEX CORP
1160106,LYG,Lloyds Banking Group plc
715153,HMC,HONDA MOTOR CO LTD
313216,PHG,KONINKLIJKE PHILIPS NV
1533932,WP,"Worldpay, Inc."
927628,COF,CAPITAL ONE FINANCIAL CORP
1390777,BK,Bank of New York Mellon Corp
1021516,HELKF,HENKEL KGAA /FI
1048286,MAR,MARRIOTT INTERNATIONAL INC /MD/
1099219,MET,METLIFE INC
16918,STZB,"CONSTELLATION BRANDS, INC."
875045,BIIB,BIOGEN INC.
860730,HCA,"HCA Healthcare, Inc."
1318605,TSLA,"Tesla, Inc."
1091587,ABB,ABB LTD
1594805,SHOP,SHOPIFY INC.
1110803,ILMN,"ILLUMINA, INC."
1737806,PDD,Pinduoduo Inc.
6281,ADI,ANALOG DEVICES INC
1059556,MCO,MOODYS CORP /DE/
1327811,WDAY,"Workday, Inc."
1038143,ORAN,ORANGE
29534,DG,DOLLAR GENERAL CORP
1610520,UBS,UBS Group AG
745732,ROST,"ROSS STORES, INC."
16918,STZ,"CONSTELLATION BRANDS, INC."
718877,ATVI,"Activision Blizzard, Inc."
1648416,RACE,Ferrari N.V.
1471055,BSBR,Banco Santander (Brasil) S.A.
96021,SYY,SYSCO CORP
1039765,ING,ING GROEP NV
1032208,SRE,SEMPRA ENERGY
49071,HUM,HUMANA INC
797468,OXY,OCCIDENTAL PETROLEUM CORP /DE/
1158967,NJDCY,NIDEC CORP
879875,JSHLY,JARDINE STRATEGIC HOLDINGS LTD /FI
92230,BBT,BB&T CORP
27904,DAL,"DELTA AIR LINES, INC."
1571996,DELL,Dell Technologies Inc
32604,EMR,EMERSON ELECTRIC CO
37996,F,FORD MOTOR CO
86312,TRV,"TRAVELERS COMPANIES, INC."
1329099,BIDU,"Baidu, Inc."
1103838,IBN,ICICI BANK LTD
1276187,ET,Energy Transfer LP
1335730,MFG,MIZUHO FINANCIAL GROUP INC
814052,TEF,TELEFONICA S A
1016118,DASTF,DASSAULT SYSTEMES SE
4977,AFL,AFLAC INC
1191255,CHA,CHINA TELECOM CORP LTD
773910,APC,ANADARKO PETROLEUM CORP
882835,ROP,ROPER TECHNOLOGIES INC
814052,TEFOF,TELEFONICA S A
1011006,AABA,ALTABA INC.
1016118,DASTY,DASSAULT SYSTEMES SE
766704,WELL,WELLTOWER INC.
1180951,BNKHF,BOC HONG KONG HOLDINGS LTD
1093028,EJPRF,EAST JAPAN RAILWAY CO /FI
1004315,NGG,NATIONAL GRID PLC
1041061,YUM,YUM BRANDS INC
1045520,CM,CANADIAN IMPERIAL BANK OF COMMERCE /CAN/
1065088,EBAY,EBAY INC
1551182,ETN,Eaton Corp plc
1162704,CTPCF,CITIC PACIFIC LTD /FI
1274174,KAOCF,KAO CORP
1036627,SBKFF,STATE BANK OF INDIA/ /FI
2488,AMD,ADVANCED MICRO DEVICES INC
833444,JCI,Johnson Controls International plc
899051,ALL,ALLSTATE CORP
1058290,CTSH,COGNIZANT TECHNOLOGY SOLUTIONS CORP
1075124,TRI,THOMSON REUTERS CORP /CAN/
1087423,RHT,RED HAT INC
103379,VFC,V F CORP
1086888,MFC,MANULIFE FINANCIAL CORP
47710,HTHIY,HITACHI LTD
756894,GOLD,BARRICK GOLD CORP
1279967,CRARF,CREDIT AGRICOLE S A
1510295,MPC,Marathon Petroleum Corp
1137774,PRU,PRUDENTIAL FINANCIAL INC
100493,TSN,"TYSON FOODS, INC."
72903,XEL,XCEL ENERGY INC
815097,CCL,CARNIVAL CORP
40704,GIS,GENERAL MILLS INC
1110646,NTES,"NetEase, Inc."
810039,HOKCF,HONG KONG & CHINA GAS COMPANY LTD /FI
16875,CP,CANADIAN PACIFIC RAILWAY LTD/CN
47111,HSY,HERSHEY CO
842180,BBVA,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A."
1751788,DOW,DOW INC.
899118,SSDOY,SHISEIDO CO LTD /FI
1164727,NEM,NEWMONT GOLDCORP CORP /DE/
1418091,TWTR,"TWITTER, INC."
1637459,KHC,Kraft Heinz Co
865752,MNST,Monster Beverage Corp
1035002,VLO,VALERO ENERGY CORP/TX
1444406,EC,ECOPETROL S.A.
769397,ADSK,AUTODESK INC
1113866,CHU,CHINA UNICOM (HONG KONG) Ltd
1650372,TEAM,Atlassian Corp Plc
1125259,CUK,CARNIVAL PLC
906107,EQR,EQUITY RESIDENTIAL
707549,LRCX,LAM RESEARCH CORP
1385157,TEL,TE Connectivity Ltd.
788784,PEG,PUBLIC SERVICE ENTERPRISE GROUP INC
872589,REGN,"REGENERON PHARMACEUTICALS, INC."
1159510,CS,CREDIT SUISSE GROUP AG
1039684,OKE,ONEOK INC /NEW/
1552000,MPLX,MPLX LP
355363,ITOCY,ITOCHU CORP
355363,ITOCF,ITOCHU CORP
1001807,TLK,PERUSAHAAN PERSEROAN PERSERO PT TELEKOMUNIKASI INDONESIA TBK
898173,ORLY,O REILLY AUTOMOTIVE INC
915912,AVB,AVALONBAY COMMUNITIES INC
68505,MSI,"Motorola Solutions, Inc."
723531,PAYX,PAYCHEX INC
1017413,CNQ,CANADIAN NATURAL RESOURCES LTD
783325,WEC,"WEC ENERGY GROUP, INC."
1047862,ED,CONSOLIDATED EDISON INC
107263,WMB,"WILLIAMS COMPANIES, INC."
1167379,ALC,ALCON INC
1126113,TELNY,TELENOR ASA
1466258,IR,Ingersoll-Rand plc
312069,BCS,BARCLAYS PLC
867530,UOVEF,UNITED OVERSEAS BANK LTD /FI
1413447,NXPI,NXP Semiconductors N.V.
92380,LUV,SOUTHWEST AIRLINES CO
1725964,NTR,Nutrien Ltd.
1034054,SBAC,SBA COMMUNICATIONS CORP
1099590,MELI,MERCADOLIBRE INC
1060391,RSG,"REPUBLIC SERVICES, INC."
750556,STI,SUNTRUST BANKS INC
101830,S,SPRINT Corp
844150,RBS,ROYAL BANK OF SCOTLAND GROUP PLC
1136869,ZBH,"ZIMMER BIOMET HOLDINGS, INC."
924613,NOK,NOKIA CORP
1142231,HKHHF,HEINEKEN HOLDING N V
16988,CAJ,CANON INC
712515,EA,ELECTRONIC ARTS INC.
1260221,TDG,TransDigm Group INC
908937,SIRI,SIRIUS XM HOLDINGS INC.
936063,LTOUF,LARSEN & TOUBRO LTD /FI
67099,MITSY,MITSUI & CO LTD
800033,BRDCF,BRIDGESTONE CORP /FI
1489393,LYB,LyondellBasell Industries N.V.
1132924,CHT,CHUNGHWA TELECOM CO LTD
47217,HPQ,HP INC
740260,VTR,"Ventas, Inc."
743988,XLNX,XILINX INC
866787,AZO,AUTOZONE INC
1113169,TROW,PRICE T ROWE GROUP INC
849395,CRH,CRH PUBLIC LTD CO
773748,MITEF,MITSUBISHI ESTATE CO LTD
79879,PPG,PPG INDUSTRIES INC
1605484,FCAU,Fiat Chrysler Automobiles N.V.
1512673,SQ,"Square, Inc."
1585689,HLT,Hilton Worldwide Holdings Inc.
1393612,DFS,Discover Financial Services
1598014,INFO,IHS Markit Ltd.
723254,CTAS,CINTAS CORP
820313,APH,AMPHENOL CORP /DE/
827052,EIX,EDISON INTERNATIONAL
883769,UNCFF,UNICREDITO ITALIANO /FI
733099,RCI,ROGERS COMMUNICATIONS INC
1650107,CCEP,COCA-COLA EUROPEAN PARTNERS plc
72741,ES,EVERSOURCE ENERGY
717826,ERIC,ERICSSON LM TELEPHONE CO
1442145,VRSK,"Verisk Analytics, Inc."
1297996,DLR,"DIGITAL REALTY TRUST, INC."
927653,MCK,MCKESSON CORP
9389,BLL,BALL Corp
1123360,GPN,GLOBAL PAYMENTS INC
806914,CTTAY,CONTINENTAL AKTIENGESELLSCHAFT /FI
1140536,WLTW,WILLIS TOWERS WATSON PLC
1173431,AMTD,TD AMERITRADE HOLDING CORP
14693,BFB,BROWN FORMAN CORP
1121631,GVDBF,GIVAUDAN SA /FI
1031296,FE,FIRSTENERGY CORP
1175454,FLT,FLEETCOR TECHNOLOGIES INC
1001838,SCCO,SOUTHERN COPPER CORP/
1097362,SLF,SUN LIFE FINANCIAL INC
26172,CMI,CUMMINS INC
75362,PCAR,PACCAR INC
1253493,ASAZF,ASSA ABLOY AB
806914,CTTAF,CONTINENTAL AKTIENGESELLSCHAFT /FI
14693,BFA,BROWN FORMAN CORP
1639920,SPOT,Spotify Technology S.A.
1014473,VRSN,VERISIGN INC/CA
935703,DLTR,"DOLLAR TREE, INC."
1318220,WCN,"Waste Connections, Inc."
1659166,FTV,Fortive Corp
936340,DTE,DTE ENERGY CO
1702780,ATUS,"Altice USA, Inc."
319201,KLAC,KLA CORP
1058090,CMG,CHIPOTLE MEXICAN GRILL INC
726728,O,REALTY INCOME CORP
721683,TSS,TOTAL SYSTEM SERVICES INC
1712807,PAGS,PagSeguro Digital Ltd.
1021122,SGTZY,AO SURGUTNEFTEGAS /FI
899866,ALXN,"ALEXION PHARMACEUTICALS, INC."
1701605,BHGE,Baker Hughes a GE Co
874716,IDXX,IDEXX LABORATORIES INC /DE
1397187,LULU,lululemon athletica inc.
1585521,ZM,"Zoom Video Communications, Inc."
48465,HRL,HORMEL FOODS CORP /DE/
1575189,MTCH,"Match Group, Inc."
811250,HLDVF,HENDERSON LAND DEVELOPMENT COMPANY LTD /FI
865845,SCGLY,SOCIETE GENERALE
865845,SCGLF,SOCIETE GENERALE
1410636,AWK,"American Water Works Company, Inc."
884887,RCL,ROYAL CARIBBEAN CRUISES LTD
65984,ETR,ENTERGY CORP /DE/
1755672,CTVA,"Corteva, Inc."
1107457,IFNNY,INFINEON TECHNOLOGIES AG
24741,GLW,CORNING INC /NY
811250,HLDCY,HENDERSON LAND DEVELOPMENT COMPANY LTD /FI
1090872,A,AGILENT TECHNOLOGIES INC
100517,UAL,"United Airlines Holdings, Inc."
1404912,KKR,KKR & Co. Inc.
877016,RDSMY,DSM N V /FI
1041130,DIA,SPDR DOW JONES INDUSTRIAL AVERAGE ETF TRUST
1601712,SYF,Synchrony Financial
76334,PH,PARKER HANNIFIN CORP
7084,ADM,Archer-Daniels-Midland Co
1393052,VEEV,VEEVA SYSTEMS INC
1521332,APTV,Aptiv PLC
804753,CERN,CERNER Corp
1123799,WIT,WIPRO LTD
868675,TU,TELUS CORP
1383650,CQP,"Cheniere Energy Partners, L.P."
55067,K,KELLOGG CO
883241,SNPS,SYNOPSYS INC
1744676,TME,Tencent Music Entertainment Group
1038357,PXD,PIONEER NATURAL RESOURCES CO
1057352,CSGP,"COSTAR GROUP, INC."
63754,MKC,MCCORMICK & CO INC
874766,HIG,"HARTFORD FINANCIAL SERVICES GROUP, INC."
1499620,TAL,TAL Education Group
922224,PPL,PPL Corp
920522,ESS,"ESSEX PROPERTY TRUST, INC."
1066119,VIV,TELEFONICA BRASIL S.A.
93556,SWK,"STANLEY BLACK & DECKER, INC."
3124,AKZOY,AKZO NOBEL NV
827054,MCHP,MICROCHIP TECHNOLOGY INC
891103,IAC,IAC/INTERACTIVECORP
1061574,GIB,CGI INC
1136808,ENAKF,E.ON SE
36270,MTB,M&T BANK CORP
1019600,FMS,FRESENIUS MEDICAL CARE CORP
1754301,FOX,Fox Corp
1754301,FOXA,Fox Corp
845982,SNN,SMITH & NEPHEW PLC
908829,PEUGF,PEUGEOT S A /FI
1381197,IBKR,"Interactive Brokers Group, Inc."
1564408,SNAP,Snap Inc
35527,FITBI,FIFTH THIRD BANCORP
756620,BT,BT GROUP PLC
56594,KMTUF,KOMATSU LTD
1012037,CODGF,COMPAGNIE DE SAINT GOBAIN
93751,STT,STATE STREET CORP
1618756,QSR,Restaurant Brands International Inc.
1037540,BXP,BOSTON PROPERTIES INC
844551,WOPEF,WOODSIDE PETROLEUM LTD
1037868,AME,AMETEK INC/
106535,WY,WEYERHAEUSER CO
1570585,LBTYB,Liberty Global plc
73124,NTRS,NORTHERN TRUST CORP
1408198,MSCI,MSCI Inc.
35527,FITB,FIFTH THIRD BANCORP
936958,MDY,SPDR S&P MIDCAP 400 ETF TRUST
21076,CLX,CLOROX CO /DE/
1071739,CNC,CENTENE CORP
1570585,LBTYK,Liberty Global plc
1570585,LBTYA,Liberty Global plc
1045919,HVRRF,Hannover Rueck SE
56873,KR,KROGER CO
809097,SDVKF,SANDVIK AB /FI
943819,RMD,RESMED INC
1070304,IX,ORIX CORP
4447,HES,HESS CORP
313927,CHD,CHURCH & DWIGHT CO INC /DE/
1611983,LBRDB,Liberty Broadband Corp
1327567,PANW,Palo Alto Networks Inc
49938,IMO,IMPERIAL OIL LTD
1546066,PBA,PEMBINA PIPELINE CORP
1324424,EXPE,"Expedia Group, Inc."
1611983,LBRDK,Liberty Broadband Corp
1611983,LBRDA,Liberty Broadband Corp
73124,NTRSP,NORTHERN TRUST CORP
1438569,GRFS,Grifols SA
917311,SVKEF,SKANDINAVISKA ENSKILDA BANKEN /FI/
813672,CDNS,CADENCE DESIGN SYSTEMS INC
1002910,AEE,AMEREN CORP
1186764,SSUMF,SUMITOMO CORP
1645590,HPE,Hewlett Packard Enterprise Co
1545772,BPY,Brookfield Property Partners L.P.
1396009,VMC,Vulcan Materials CO
1169870,TLSNF,TELIASONERA AB
1601046,KEYS,"Keysight Technologies, Inc."
1095054,UNCHF,Unicharm Corp
882184,DHI,HORTON D R INC /DE/
20286,CINF,CINCINNATI FINANCIAL CORP
1326160,DUKH,Duke Energy CORP
63271,PCRFY,PANASONIC Corp
1269238,CTRP,CTRIP COM INTERNATIONAL LTD
1024478,ROK,"ROCKWELL AUTOMATION, INC"
869428,AMCRY,AMCOR LTD
1164004,CKISF,CHEUNG KONG HOLDINGS LTD
1042701,GMBXF,"Grupo Mexico, S.A.B. de C.V."
815556,FAST,FASTENAL CO
1456346,FNV,FRANCO NEVADA Corp
1372920,EDU,New Oriental Education & Technology Group Inc.
764478,BBY,BEST BUY CO INC
109821,KUBTY,KUBOTA CORP
879169,INCY,INCYTE CORP
811156,CMS,CMS ENERGY CORP
91576,KEY,KEYCORP /NEW/
800365,FUJIF,FUJI PHOTO FILM CO LTD /FI
900075,CPRT,COPART INC
33185,EFX,EQUIFAX INC
800365,FUJIY,FUJI PHOTO FILM CO LTD /FI
800901,KNBWY,"Kirin Holdings Company, Ltd /FI"
1140859,ABC,AMERISOURCEBERGEN CORP
820027,AMP,AMERIPRISE FINANCIAL INC
45012,HAL,HALLIBURTON CO
1013462,ANSS,ANSYS INC
1015922,CHKP,CHECK POINT SOFTWARE TECHNOLOGIES LTD
106040,WDC,WESTERN DIGITAL CORP
1673358,YUMC,"Yum China Holdings, Inc."
1596532,ANET,"Arista Networks, Inc."
1035443,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC."
765880,HCP,"HCP, INC."
1139313,WOSCF,WOLSELEY PLC
354190,AJG,ARTHUR J. GALLAGHER & CO.
29989,OMC,OMNICOM GROUP INC.
882602,OMVKY,OMV AKTIENGESELLSCHAFT /FI
1353283,SPLK,SPLUNK INC
1402057,CDW,CDW Corp
1169715,SDXAY,Sodexo S.A.
1001290,BAP,CREDICORP LTD
1677250,ZTO,ZTO Express (Cayman) Inc.
920148,LH,LABORATORY CORP OF AMERICA HOLDINGS
1120193,NDAQ,"NASDAQ, INC."
932787,STM,STMICROELECTRONICS NV
920760,LEN,LENNAR CORP /NEW/
1539838,FANG,"Diamondback Energy, Inc."
1283353,WJRYF,WEST JAPAN RAILWAY CO
1001082,DISH,DISH Network CORP
1037646,MTD,METTLER TOLEDO INTERNATIONAL INC/
1447669,TWLO,TWILIO INC
749098,MGA,MAGNA INTERNATIONAL INC
947484,ACGL,ARCH CAPITAL GROUP LTD.
813828,CBS,CBS CORP
1058057,MRVL,MARVELL TECHNOLOGY GROUP LTD
1096343,MKL,MARKEL CORP
1748790,AMCR,Amcor plc
1121788,GRMN,GARMIN LTD
926171,NTIOF,NATIONAL BANK OF CANADA /FI/
759944,CFG,CITIZENS FINANCIAL GROUP INC/RI
96943,TFX,TELEFLEX INC
1263043,SHG,SHINHAN FINANCIAL GROUP CO LTD
1358071,CXO,CONCHO RESOURCES INC
51434,IP,INTERNATIONAL PAPER CO /NEW/
1003811,FJTSF,Fujitsu Ltd
46619,HEI,HEICO CORP
916076,MLM,MARTIN MARIETTA MATERIALS INC
1289490,EXR,Extra Space Storage Inc.
1003811,FJTSY,Fujitsu Ltd
3570,LNG,"Cheniere Energy, Inc."
1552033,TRU,TransUnion
1132979,FRC,FIRST REPUBLIC BANK
1634997,AGR,"Avangrid, Inc."
889132,PKX,POSCO
1126975,MMP,"Magellan Midstream Partners, L.P."
1070423,PAA,PLAINS ALL AMERICAN PIPELINE LP
277135,GWW,GRAINGER W W INC
1411494,APO,"Apollo Global Management, Inc."
1506293,PINS,"Pinterest, Inc."
1243429,MT,ArcelorMittal
1126328,PFG,PRINCIPAL FINANCIAL GROUP INC
1687229,INVH,Invitation Homes Inc.
806968,WPP,WPP plc
1281761,RF,REGIONS FINANCIAL CORP
73309,NUE,NUCOR CORP
1025378,WPC,W. P. Carey Inc.
940944,DRI,DARDEN RESTAURANTS INC
